module,type,name,res_id,src,value,comments
account,model_terms,"ir.ui.view,arch_db",account.view_account_move_kanban,"<i class=""fa fa-clock-o"" aria-label=""Date"" role=""img"" title=""Date""/>","<i class=""fa fa-clock-o"" aria-label=""Date"" role=""img"" title=""Date""/>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_payment_kanban,"<i class=""fa fa-clock-o"" role=""img"" aria-label=""Date"" title=""Date""/>","<i class=""fa fa-clock-o"" role=""img"" aria-label=""Date"" title=""Date""/>",
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_page,"<i class=""fa fa-download""/> Download","<i class=""fa fa-download""/> Download",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<i class=""fa fa-ellipsis-v"" aria-label=""Selection"" role=""img"" title=""Selection""/>","<i class=""fa fa-ellipsis-v"" aria-label=""Selection"" role=""img"" title=""Selection""/>",
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_page,"<i class=""fa fa-fw fa-comments""/><b>Send message</b>","<i class=""fa fa-fw fa-comments""/><b>Send message</b>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_journal_form,"<i class=""fa fa-fw o_button_icon fa-arrow-right""/> Configure Email Servers","<i class=""fa fa-fw o_button_icon fa-arrow-right""/> Configure Email Servers",
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_page,"<i class=""fa fa-print""/> Print","<i class=""fa fa-print""/> Print",
account,model_terms,"ir.ui.view,arch_db",account.view_move_form,"<span attrs=""{'invisible': ['|', '|', ('type', '!=', 'out_invoice'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Invoice</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'out_refund'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Credit Note</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'in_invoice'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Bill</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'in_refund'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Refund</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'out_receipt'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Sales Receipt</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'in_receipt'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Purchase Receipt</span>","<span attrs=""{'invisible': ['|', '|', ('type', '!=', 'out_invoice'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Invoice</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'out_refund'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Credit Note</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'in_invoice'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Bill</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'in_refund'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Refund</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'out_receipt'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Sales Receipt</span>
                                <span attrs=""{'invisible': ['|', '|', ('type', '!=', 'in_receipt'), ('state', '!=', 'draft'), ('name', '!=', '/')]}"">Draft Purchase Receipt</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_invoice_send_wizard_form,"<span attrs=""{'invisible': [('composition_mode', '!=', 'mass_mail')]}"">
                                        <strong>Email mass mailing</strong> on
                                        <span>the selected records</span>
                                    </span>
                                    <span>Followers of the document and</span>","<span attrs=""{'invisible': [('composition_mode', '!=', 'mass_mail')]}"">
                                        <strong>Email mass mailing</strong> on
                                        <span>the selected records</span>
                                    </span>
                                    <span>Followers of the document and</span>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_payment_form,"<span attrs=""{'invisible':[('reconciled_invoices_count','&gt;',1)]}"">Invoice</span>
                                <span attrs=""{'invisible':[('reconciled_invoices_count','&lt;=',1)]}"">Invoices</span>","<span attrs=""{'invisible':[('reconciled_invoices_count','&gt;',1)]}"">Invoice</span>
                                <span attrs=""{'invisible':[('reconciled_invoices_count','&lt;=',1)]}"">Invoices</span>",
account,model_terms,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""badge badge-pill badge-info""><i class=""fa fa-fw fa-clock-o"" aria-label=""Opened"" title=""Opened"" role=""img""/><span class=""d-none d-md-inline""> Waiting for Payment</span></span>","<span class=""badge badge-pill badge-info""><i class=""fa fa-fw fa-clock-o"" aria-label=""Opened"" title=""Opened"" role=""img""/><span class=""d-none d-md-inline""> Waiting for Payment</span></span>",
account,model_terms,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""badge badge-pill badge-success""><i class=""fa fa-fw fa-check"" aria-label=""Paid"" title=""Paid"" role=""img""/><span class=""d-none d-md-inline""> Paid</span></span>","<span class=""badge badge-pill badge-success""><i class=""fa fa-fw fa-check"" aria-label=""Paid"" title=""Paid"" role=""img""/><span class=""d-none d-md-inline""> Paid</span></span>",
account,model_terms,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""badge badge-pill badge-warning""><i class=""fa fa-fw fa-remove"" aria-label=""Cancelled"" title=""Cancelled"" role=""img""/><span class=""d-none d-md-inline""> Cancelled</span></span>","<span class=""badge badge-pill badge-warning""><i class=""fa fa-fw fa-remove"" aria-label=""Cancelled"" title=""Cancelled"" role=""img""/><span class=""d-none d-md-inline""> Cancelled</span></span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span class=""badge badge-warning text-uppercase o_sample_data_label"">Sample data</span>","<span class=""badge badge-warning text-uppercase o_sample_data_label"">Sample data</span>",
